"Nombre","Lat","Lon","var","estacion","mes","pend_decada","p_valor"
"BELEN","-18,467777779999999","-69,516944440000003","pp","X01300007.7","2",-3.01939933259177,0.472235529058344
"BELEN","-18,467777779999999","-69,516944440000003","pp","X01300007.7","3",-10.0589543937709,0.88531421353243
"BELEN","-18,467777779999999","-69,516944440000003","pp","X01300007.7","4",0.158398220244716,0.079848397455816
"BELEN","-18,467777779999999","-69,516944440000003","pp","X01300007.7","5",-0.0540600667408231,0.704401588525061
"BELEN","-18,467777779999999","-69,516944440000003","pp","X01300007.7","6",-0.203337041156841,0.258501559743432
"BELEN","-18,467777779999999","-69,516944440000003","pp","X01300007.7","7",-0.261179087875417,0.645704848434658
"BELEN","-18,467777779999999","-69,516944440000003","pp","X01300007.7","8",-3.68498331479421,0.18449745194457
"BELEN","-18,467777779999999","-69,516944440000003","pp","X01300007.7","9",-0.0542825361512791,0.406146777859234
"BELEN","-18,467777779999999","-69,516944440000003","pp","X01300007.7","10",-0.014460511679644,0.256819044386351
"BELEN","-18,467777779999999","-69,516944440000003","pp","X01300007.7","11",0.154393770856507,0.134257757954239
"BELEN","-18,467777779999999","-69,516944440000003","pp","X01300007.7","12",-4.06910456062291,0.560083264984904
"BELEN","-18,467777779999999","-69,516944440000003","pp","X01300007.7","Anual",-42.6521523915462,0.0497027408676085
"TIGNAMAR","-18,581111109999998","-69,494166669999998","pp","X01300008.5","1",-17.8115684093437,0.442572061341165
"TIGNAMAR","-18,581111109999998","-69,494166669999998","pp","X01300008.5","2",5.60889877641824,0.486484584975554
"TIGNAMAR","-18,581111109999998","-69,494166669999998","pp","X01300008.5","3",-4.53937708565072,0.384742855172116
"TIGNAMAR","-18,581111109999998","-69,494166669999998","pp","X01300008.5","4",0.685650723025584,0.207096718085541
"TIGNAMAR","-18,581111109999998","-69,494166669999998","pp","X01300008.5","5",0.564182424916574,0.740071632449406
"TIGNAMAR","-18,581111109999998","-69,494166669999998","pp","X01300008.5","6",0.462291434927697,0.468892943897161
"TIGNAMAR","-18,581111109999998","-69,494166669999998","pp","X01300008.5","7",0.425583982202447,0.321166046434783
"TIGNAMAR","-18,581111109999998","-69,494166669999998","pp","X01300008.5","8",-2.26807563959956,0.013856710298057
"TIGNAMAR","-18,581111109999998","-69,494166669999998","pp","X01300008.5","9",-0.343715239154616,0.972486739931239
"TIGNAMAR","-18,581111109999998","-69,494166669999998","pp","X01300008.5","10",-0.0744160177975528,0.704401588525061
"TIGNAMAR","-18,581111109999998","-69,494166669999998","pp","X01300008.5","11",-0.189098998887654,0.933806941891866
"TIGNAMAR","-18,581111109999998","-69,494166669999998","pp","X01300008.5","12",-8.08847608453838,0.0791481005651633
"TIGNAMAR","-18,581111109999998","-69,494166669999998","pp","X01300008.5","Anual",-25.5681201334816,0.253526359301579
"ARICA OFICINA","-18,477777780000000","-70,320833329999999","pp","X01310018.7","1",0.158731924360401,0.0722354038772239
"ARICA OFICINA","-18,477777780000000","-70,320833329999999","pp","X01310018.7","2",0.496996662958843,0.280753871169906
"ARICA OFICINA","-18,477777780000000","-70,320833329999999","pp","X01310018.7","3",-0.116796440489433,0.648582193569624
"ARICA OFICINA","-18,477777780000000","-70,320833329999999","pp","X01310018.7","4",0.0645161290322581,0.105774794986316
"ARICA OFICINA","-18,477777780000000","-70,320833329999999","pp","X01310018.7","5",0,NA
"ARICA OFICINA","-18,477777780000000","-70,320833329999999","pp","X01310018.7","6",0,NA
"ARICA OFICINA","-18,477777780000000","-70,320833329999999","pp","X01310018.7","7",0.189543937708565,0.12126367772575
"ARICA OFICINA","-18,477777780000000","-70,320833329999999","pp","X01310018.7","8",-0.171301446051168,0.268786416341542
"ARICA OFICINA","-18,477777780000000","-70,320833329999999","pp","X01310018.7","9",0.0111234705228031,0.165621412459116
"ARICA OFICINA","-18,477777780000000","-70,320833329999999","pp","X01310018.7","10",0,NA
"ARICA OFICINA","-18,477777780000000","-70,320833329999999","pp","X01310018.7","11",0,NA
"ARICA OFICINA","-18,477777780000000","-70,320833329999999","pp","X01310018.7","12",0.114238042269188,0.030787907941281
"ARICA OFICINA","-18,477777780000000","-70,320833329999999","pp","X01310018.7","Anual",0.747052280311457,0.85195008711102
"AZAPA","-18,516388890000002","-70,180000000000007","pp","X01310019.5","1",0.468965517241379,0.260953342570182
"AZAPA","-18,516388890000002","-70,180000000000007","pp","X01310019.5","2",0.716240266963293,0.00791442772785126
"AZAPA","-18,516388890000002","-70,180000000000007","pp","X01310019.5","3",-0.0589543937708565,0.105015293824206
"AZAPA","-18,516388890000002","-70,180000000000007","pp","X01310019.5","4",0.0472747497219132,0.0200216500531604
"AZAPA","-18,516388890000002","-70,180000000000007","pp","X01310019.5","5",0.0567296996662959,0.0200216500531604
"AZAPA","-18,516388890000002","-70,180000000000007","pp","X01310019.5","6",0.144160177975528,0.00568871168587177
"AZAPA","-18,516388890000002","-70,180000000000007","pp","X01310019.5","7",0.33503893214683,0.011846493472945
"AZAPA","-18,516388890000002","-70,180000000000007","pp","X01310019.5","8",-0.0727474972191325,0.292228316514439
"AZAPA","-18,516388890000002","-70,180000000000007","pp","X01310019.5","9",0.103448275862069,0.0149786199396029
"AZAPA","-18,516388890000002","-70,180000000000007","pp","X01310019.5","10",0.00945494994438265,0.0200216500531604
"AZAPA","-18,516388890000002","-70,180000000000007","pp","X01310019.5","11",0.02146829810901,0.0249050342006934
"AZAPA","-18,516388890000002","-70,180000000000007","pp","X01310019.5","12",0.210233592880979,0.133111224310697
"AZAPA","-18,516388890000002","-70,180000000000007","pp","X01310019.5","Anual",1.98131256952169,0.0353925546897382
"CODPA","-18,832500000000000","-69,743888889999994","pp","X01410012.1","1",3.32431590656285,0.865134745405447
"CODPA","-18,832500000000000","-69,743888889999994","pp","X01410012.1","2",8.71430478309233,0.0431213762861099
"CODPA","-18,832500000000000","-69,743888889999994","pp","X01410012.1","3",-0.0127474972191321,0.984487832069215
"CODPA","-18,832500000000000","-69,743888889999994","pp","X01410012.1","4",0.131657397107898,0.049570117816228
"CODPA","-18,832500000000000","-69,743888889999994","pp","X01410012.1","5",0.0333704115684094,0.418664828968344
"CODPA","-18,832500000000000","-69,743888889999994","pp","X01410012.1","6",0.00889877641824249,0.165621412459116
"CODPA","-18,832500000000000","-69,743888889999994","pp","X01410012.1","7",0.485939933259177,0.0289947037429544
"CODPA","-18,832500000000000","-69,743888889999994","pp","X01410012.1","8",-0.720000000000001,0.543038989014967
"CODPA","-18,832500000000000","-69,743888889999994","pp","X01410012.1","9",0,NA
"CODPA","-18,832500000000000","-69,743888889999994","pp","X01410012.1","10",0,NA
"CODPA","-18,832500000000000","-69,743888889999994","pp","X01410012.1","11",0,NA
"CODPA","-18,832500000000000","-69,743888889999994","pp","X01410012.1","12",0.202046718576196,0.831580259438648
"CODPA","-18,832500000000000","-69,743888889999994","pp","X01410012.1","Anual",12.167786429366,0.486484584975554
"ESQUIÑA","-18,937222219999999","-69,529722219999996","pp","X01502007.5","1",6.37259176863182,0.486045136771613
"ESQUIÑA","-18,937222219999999","-69,529722219999996","pp","X01502007.5","2",6.50456062291435,0.164986067368962
