"","Nombre","Lat","Lon","est","indicador","unidad","periodo","pendiente","p_valor"
"161","LAGUNA MALLECO",-38.21527778,-71.81111111,"X08350002.6","MaxTmax","�C_decada","Anual",2.46963292547275,8.73096795447494e-06
"162","LAGUNA MALLECO",-38.21527778,-71.81111111,"X08350002.6","MaxTmax","�C_decada","Otono",2.05406006674083,0.00287425387158684
"163","LAGUNA MALLECO",-38.21527778,-71.81111111,"X08350002.6","MaxTmax","�C_decada","Invierno",1.89232480533927,0.0212054534702833
"164","LAGUNA MALLECO",-38.21527778,-71.81111111,"X08350002.6","MaxTmax","�C_decada","Primavera",0.854282536151278,0.0137236461992234
"165","LAGUNA MALLECO",-38.21527778,-71.81111111,"X08350002.6","MaxTmax","�C_decada","Verano",3.15221674876848,2.94445937681654e-07
"166","ERCILLA (VIDA NUEVA)",-38.04472222,-72.46027778,"X08353001.4","MaxTmax","�C_decada","Anual",1.81512791991101,0.00205702395018538
"167","ERCILLA (VIDA NUEVA)",-38.04472222,-72.46027778,"X08353001.4","MaxTmax","�C_decada","Otono",1.77842046718576,0.00789358851535777
"168","ERCILLA (VIDA NUEVA)",-38.04472222,-72.46027778,"X08353001.4","MaxTmax","�C_decada","Invierno",1.23982202447164,0.0520947797071956
"169","ERCILLA (VIDA NUEVA)",-38.04472222,-72.46027778,"X08353001.4","MaxTmax","�C_decada","Primavera",1.09399332591769,0.0456317646734011
"170","ERCILLA (VIDA NUEVA)",-38.04472222,-72.46027778,"X08353001.4","MaxTmax","�C_decada","Verano",2.35714285714286,0.000226211382817444
"171","ANGOL (LA MONA)",-37.77916667,-72.63722222,"X08358002.K","MaxTmax","�C_decada","Anual",0.701668520578422,0.242527827964821
"172","ANGOL (LA MONA)",-37.77916667,-72.63722222,"X08358002.K","MaxTmax","�C_decada","Otono",0.45483870967742,0.549931540576845
"173","ANGOL (LA MONA)",-37.77916667,-72.63722222,"X08358002.K","MaxTmax","�C_decada","Invierno",0.210901001112349,0.985529635855918
"174","ANGOL (LA MONA)",-37.77916667,-72.63722222,"X08358002.K","MaxTmax","�C_decada","Primavera",0.35661846496107,0.384222665789228
"175","ANGOL (LA MONA)",-37.77916667,-72.63722222,"X08358002.K","MaxTmax","�C_decada","Verano",1.16945812807882,0.0826269589628364
"176","CONTULMO",-38.01833333,-73.23027778,"X08822008.0","MaxTmax","�C_decada","Anual",-2.4420467185762,0.000898381781498043
"177","CONTULMO",-38.01833333,-73.23027778,"X08822008.0","MaxTmax","�C_decada","Otono",-1.1615127919911,0.0980792618670783
"178","CONTULMO",-38.01833333,-73.23027778,"X08822008.0","MaxTmax","�C_decada","Invierno",-2.85072302558398,9.65938133623086e-06
"179","CONTULMO",-38.01833333,-73.23027778,"X08822008.0","MaxTmax","�C_decada","Primavera",-2.16218020022247,0.000366249250042965
"180","CONTULMO",-38.01833333,-73.23027778,"X08822008.0","MaxTmax","�C_decada","Verano",-2.22118226600985,0.00628658689851694
"181","TRAIGUEN",-38.25611111,-72.65361111,"X09105002.1","MaxTmax","�C_decada","Anual",-1.77588987764182,0.137085403864438
"182","TRAIGUEN",-38.25611111,-72.65361111,"X09105002.1","MaxTmax","�C_decada","Otono",-1.13038932146829,0.307456911657612
"183","TRAIGUEN",-38.25611111,-72.65361111,"X09105002.1","MaxTmax","�C_decada","Invierno",-2.01490545050056,1.96463691679653e-05
"184","TRAIGUEN",-38.25611111,-72.65361111,"X09105002.1","MaxTmax","�C_decada","Primavera",-1.80489432703003,0.00180069794225516
"185","TRAIGUEN",-38.25611111,-72.65361111,"X09105002.1","MaxTmax","�C_decada","Verano",-1.48041871921182,0.283445395692071
"186","MALALCAHUELLO",-38.47083333,-71.57111111,"X09120003.1","MaxTmax","�C_decada","Anual",0.610233592880983,0.0221928051793483
"187","MALALCAHUELLO",-38.47083333,-71.57111111,"X09120003.1","MaxTmax","�C_decada","Otono",0.0725250278086765,0.442232295387807
"188","MALALCAHUELLO",-38.47083333,-71.57111111,"X09120003.1","MaxTmax","�C_decada","Invierno",-0.721690767519464,0.411128572326878
"189","MALALCAHUELLO",-38.47083333,-71.57111111,"X09120003.1","MaxTmax","�C_decada","Primavera",-0.300556173526138,0.830226488284619
